HLF+/+ ND			HLF+/- ND			HLF+/+ HFD			HLF+/- HFD		
0.676912	0.243775	0.676547	0.282444	0.0279	0.639238	0.538711	0.185531	0.622867	0.565844	0.102875	0.610569
0.676912	0.243825	0.677865	0.282444	0.030375	0.639238	0.53966	0.185531	0.622867	0.565844	0.102875	0.610569
0.676912	0.279731	0.738738	0.282444	0.030375	0.639238	0.573409	0.185531	0.622867	0.565844	0.102875	0.610569
0.6803	0.292215	0.831793	0.283722	0.030375	0.639238	0.623334	0.185531	0.622867	0.565844	0.102875	0.610569
0.686772	0.292215	0.887855	0.290975	0.042565	0.639238	0.67023	0.185531	0.622867	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296518	0.084054	0.639238	0.68083	0.185531	0.622867	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.639238	0.68083	0.185531	0.622867	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.639238	0.68083	0.185531	0.650005	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.639238	0.68083	0.185531	0.722937	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.663643	0.68083	0.185531	0.796608	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.779624	0.68083	0.185531	0.857674	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.185531	0.864018	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.185531	0.864018	0.565844	0.102875	0.610569
0.688976	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.185531	0.864018	0.565844	0.102875	0.610569
0.75275	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.185531	0.864018	0.565844	0.102875	0.610569
0.891424	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.185531	0.864018	0.565844	0.102875	0.610569
0.940129	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.186296	0.864018	0.565844	0.102875	0.610569
0.940129	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.212504	0.864018	0.565844	0.102875	0.610569
0.940129	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.102875	0.610569
0.940129	0.292215	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.102875	0.610569
0.940129	0.324387	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.102875	0.610569
0.940129	0.381102	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.102875	0.610569
0.940129	0.385337	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.102875	0.610569
0.940129	0.385337	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.123987	0.610569
0.940129	0.385337	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.175818	0.610569
0.940129	0.385337	0.888401	0.296703	0.105369	0.835417	0.68083	0.215465	0.864018	0.565844	0.178931	0.610569
0.940129	0.385337	0.888401	0.296703	0.105369	0.847966	0.68083	0.215465	0.864018	0.565844	0.178931	0.610569
0.940129	0.385337	0.888401	0.296703	0.105369	0.931809	0.68083	0.215465	0.864018	0.565844	0.178931	0.610569
0.940129	0.385337	0.929864	0.296703	0.105369	0.954913	0.68083	0.215465	0.864018	0.570045	0.178931	0.610569
0.940129	0.385337	1.018859	0.29681	0.105369	0.954913	0.68083	0.215465	0.864018	0.628931	0.178931	0.610569
0.940129	0.385337	1.099739	0.300862	0.105369	0.954913	0.68083	0.218105	0.864018	0.637553	0.178931	0.610569
0.940129	0.385337	1.11429	0.301132	0.105369	0.954913	0.68083	0.242907	0.864018	0.637553	0.178931	0.610569
0.940129	0.385337	1.11429	0.304078	0.106841	0.954913	0.68083	0.243022	0.864018	0.637553	0.178931	0.610569
0.940129	0.385339	1.13426	0.316993	0.140319	0.954913	0.68083	0.243022	0.864018	0.637553	0.178947	0.624986
0.940129	0.39429	1.159337	0.327957	0.152264	0.954913	0.68083	0.24303	0.864018	0.644781	0.257022	0.660646
