HLF+/+HFD			HLF-/-HFD		
0.051893	0.061328	0.070326	0.110419	0.052976	0.055449
0.06521	0.055603	0.071114	0.111656	0.064012	0.059099
0.052739	0.049153	0.068837	0.108081	0.053671	0.066408
0.054255	0.046029	0.069993	0.109896	0.046116	0.052639
0.057706	0.043176	0.069417	0.108992	0.06459	0.06201
0.054997	0.046219	0.063206	0.09924	0.067676	0.056449
0.052299	0.044555	0.060095	0.094356	0.074885	0.051321
0.049258	0.05098	0.058527	0.091894	0.070611	0.052069
0.050951	0.042973	0.058906	0.09249	0.076558	0.065048
0.050493	0.043062	0.059029	0.092682	0.069861	0.052299
0.046029	0.04658	0.059963	0.094149	0.061708	0.054236
0.049076	0.048691	0.05575	0.087533	0.067405	0.058147
0.040123	0.053635	0.054515	0.085595	0.061449	0.048841
0.036382	0.055034	0.051154	0.080317	0.0612	0.04833
0.035786	0.049671	0.044636	0.070083	0.055121	0.051243
0.032425	0.053921	0.047055	0.073881	0.048949	0.052201
0.040048	0.051154	0.047281	0.074236	0.038093	0.045999
0.038601	0.05319	0.048173	0.075637	0.039349	0.061154
0.041138	0.051174	0.049304	0.077412	0.049933	0.061732
0.043094	0.045786	0.047934	0.075261	0.048659	0.068373
0.048442	0.052976	0.047187	0.074088	0.056906	0.071504
0.035339	0.046053	0.044296	0.06955	0.051907	0.065349
0.037362	0.048912	0.047643	0.074805	0.031895	0.066973
0.036874	0.046389	0.045227	0.071011	0.043019	0.065253
0.041113	0.048435	0.045502	0.071443	0.05702	0.053223
0.0432	0.066368	0.04921	0.077265	0.065706	0.058628
0.045033	0.070644	0.053629	0.084204	0.064189	0.053469
0.048591	0.06312	0.044837	0.0704	0.064766	0.055132
0.046869	0.05735	0.042402	0.066576	0.076323	0.046453
0.047962	0.048094	0.047995	0.075358	0.067554	0.048059
0.056155	0.050772	0.054139	0.085003	0.069937	0.051212
0.051414	0.051815	0.060332	0.094727	0.068962	0.048543
0.053297	0.045425	0.062197	0.097657	0.058707	0.054488
0.052181	0.044789	0.078506	0.123263	0.06584	0.056198
0.046452	0.046419	0.061718	0.096904	0.057076	0.052496
0.049058	0.043662	0.066499	0.104411	0.050155	0.051413
0.046638	0.043947	0.057121	0.089686	0.05432	0.054115
0.038788	0.045757	0.056038	0.087985	0.049939	0.050346
0.047513	0.051161	0.06347	0.099654	0.052473	0.053264
0.043737	0.058267	0.057391	0.09011	0.055477	0.050355
0.040402	0.05759	0.052476	0.082393	0.040737	0.053068
0.040238	0.0517	0.059169	0.092902	0.03807	0.052913
0.04285	0.059715	0.05213	0.081849	0.046926	0.049006
0.037847	0.065992	0.043326	0.068026	0.059251	0.068567
0.0355	0.059793	0.038886	0.061055	0.037483	0.058918
0.037735	0.050552	0.047943	0.075276	0.034623	0.050899
0.039422	0.051002	0.044104	0.069249	0.055506	0.04437
0.040525	0.055644	0.039636	0.062232	0.034774	0.060745
0.038018	0.052877	0.044398	0.06971	0.041749	0.065989
0.047555	0.053759	0.041461	0.065098	0.048755	0.055198
0.051047	0.0502	0.042305	0.066423	0.054792	0.047628
0.047205	0.042562	0.043882	0.0689	0.055033	0.048215
0.040925	0.04143	0.045971	0.072179	0.057623	0.04932
0.038652	0.042516	0.045491	0.071426	0.057211	0.048921
0.044282	0.039009	0.045924	0.072106	0.058647	0.048133
0.038622	0.036981	0.041762	0.06557	0.050945	0.056215
0.037685	0.038827	0.049227	0.077292	0.042037	0.049465
0.041919	0.039995	0.049859	0.078284	0.043548	0.051836
0.04057	0.04042	0.055715	0.087479	0.043703	0.054676
0.036628	0.042715	0.060654	0.095234	0.065515	0.051255
0.036911	0.041283	0.063388	0.099526	0.04507	0.054106
0.039173	0.046185	0.063334	0.099442	0.04123	0.046871
0.038865	0.045472	0.054064	0.084887	0.043525	0.050211
0.040264	0.044158	0.055539	0.087202	0.064033	0.050673
0.043794	0.045813	0.069639	0.109341	0.057314	0.050849
0.042169	0.045356	0.053516	0.084026	0.038727	0.045252
0.041059	0.040738	0.05455	0.08565	0.040905	0.049362
0.042108	0.042384	0.057221	0.089844	0.047348	0.040671
0.039765	0.039692	0.055327	0.086869	0.049573	0.04003
0.045451	0.043457	0.048196	0.075674	0.041468	0.051743
0.053594	0.042954	0.038885	0.061054	0.056053	0.043288
0.046995	0.039121	0.042804	0.067208	0.048002	0.044693
0.04881	0.042747	0.051537	0.080919	0.048697	0.041247
0.040385	0.044241	0.044062	0.069183	0.050786	0.047301
0.048802	0.044377	0.043126	0.067713	0.063878	0.052342
0.043541	0.043204	0.046152	0.072463	0.061854	0.04748
0.052081	0.040398	0.040258	0.063209	0.06941	0.042871
0.043246	0.041141	0.046317	0.072723	0.053647	0.043574
0.044802	0.042257	0.051	0.080075	0.04576	0.049934
0.044421	0.042616	0.044546	0.069943	0.036351	0.057164
0.041078	0.041705	0.045818	0.07194	0.050741	0.055708
0.03488	0.041761	0.04352	0.068331	0.063279	0.048748
0.036325	0.04048	0.039935	0.062702	0.049517	0.052298
0.037242	0.040798	0.038693	0.060753	0.050238	0.047194
0.039701	0.041992	0.041094	0.064522	0.054217	0.053765
0.040299	0.041635	0.047622	0.074771	0.050179	0.056291
0.038239	0.042831	0.051051	0.080155	0.060277	0.051345
0.040393	0.04276	0.051865	0.081434	0.065558	0.043712
0.036189	0.044508	0.03818	0.059947	0.065988	0.045047
0.03253	0.050753	0.041726	0.065515	0.061669	0.04974
0.035761	0.049723	0.041457	0.065092	0.063572	0.053131
0.036414	0.046551	0.041754	0.065558	0.06231	0.05097
0.036451	0.044084	0.040879	0.064185	0.057654	0.051626
0.036838	0.038451	0.040576	0.063709	0.050383	0.055541
0.039425	0.04447	0.048556	0.076238	0.060144	0.049566
0.040078	0.051899	0.066069	0.103735	0.079438	0.050627
0.038587	0.041349	0.068749	0.107944	0.063636	0.053734
0.038639	0.043493	0.058885	0.092456	0.067483	0.055897
0.037638	0.043858	0.062836	0.098659	0.079326	0.049658
0.041006	0.048808	0.052751	0.082825	0.064133	0.053801
0.038401	0.055079	0.050345	0.079048	0.062271	0.049833
0.03687	0.053028	0.051074	0.080192	0.049	0.053429
0.037114	0.056538	0.05472	0.085916	0.043017	0.058537
0.037559	0.070299	0.0516	0.081017	0.048459	0.054992
0.039253	0.066502	0.051124	0.08027	0.045552	0.054692
0.034644	0.057656	0.048925	0.076818	0.048436	0.051372
0.039326	0.061714	0.053462	0.083941	0.045791	0.054208
0.048183	0.057474	0.051561	0.080956	0.050605	0.054454
0.051907	0.058783	0.044096	0.069236	0.053041	0.051829
0.056199	0.054671	0.044807	0.070352	0.054763	0.051807
0.050316	0.05305	0.048163	0.075621	0.058232	0.045054
0.052444	0.054223	0.048692	0.076451	0.064731	0.053591
0.053771	0.05553	0.044517	0.069897	0.050367	0.067099
0.048555	0.05482	0.042234	0.066312	0.056122	0.059928
0.042431	0.060573	0.050448	0.079208	0.057858	0.062569
0.046627	0.056435	0.052458	0.082364	0.04499	0.06198
0.047429	0.055711	0.058888	0.092461	0.055106	0.055625
0.04495	0.055908	0.049364	0.077506	0.062846	0.05821
0.041545	0.056019	0.054374	0.085373	0.061067	0.049095
0.040007	0.060755	0.053463	0.083943	0.061585	0.047931
0.038118	0.049906	0.049835	0.078246	0.056923	0.047152
0.039312	0.044574	0.053848	0.084547	0.049889	0.043806
0.035958	0.043358	0.049424	0.077601	0.040936	0.052116
0.037407	0.04468	0.0528	0.082901	0.053979	0.047687
0.039534	0.049814	0.051399	0.080701	0.047656	0.051375
0.044488	0.042633	0.040735	0.063958	0.057128	0.054213
0.039244	0.045308	0.04368	0.068582	0.059409	0.055103
0.038378	0.046058	0.045924	0.072106	0.057767	0.05611
0.037578	0.04584	0.043542	0.068366	0.047878	0.052027
0.039378	0.04311	0.045661	0.071692	0.070793	0.050649
0.037984	0.045851	0.043668	0.068564	0.073182	0.04072
0.0392	0.047084	0.048656	0.076395	0.063357	0.052885
0.040465	0.045983	0.040751	0.063983	0.05511	0.052448
0.04178	0.046711	0.040125	0.063001	0.058883	0.05658
0.037017	0.046301	0.047678	0.07486	0.060706	0.047876
0.036791	0.047728	0.043689	0.068596	0.068633	0.049601
0.036616	0.048191	0.042181	0.066229	0.064332	0.048575
0.03728	0.046849	0.041439	0.065063	0.051398	0.048784
0.037834	0.045252	0.042407	0.066584	0.049906	0.052757
0.039212	0.044406	0.041651	0.065397	0.059832	0.054808
0.039413	0.044076	0.04734	0.074329	0.066024	0.05742
0.038455	0.048259	0.050686	0.079582	0.060848	0.058154
0.044493	0.041876	0.044745	0.070255	0.063272	0.054385
0.047678	0.045664	0.037522	0.058914	0.061462	0.057281
0.048864	0.046391	0.036063	0.056623	0.069334	0.050415
0.052485	0.047904	0.044639	0.070089	0.056535	0.058092
0.046035	0.055629	0.049299	0.077405	0.060468	0.053858
0.037528	0.057462	0.050807	0.079772	0.046353	0.052227
0.03745	0.057934	0.047335	0.074322	0.058009	0.051637
0.037873	0.061502	0.051157	0.080322	0.060971	0.056357
0.041342	0.054811	0.050283	0.07895	0.054156	0.051747
0.045215	0.053046	0.041198	0.064685	0.054303	0.051446
0.05182	0.04391	0.0419	0.065788	0.060604	0.053129
0.047666	0.040865	0.047134	0.074005	0.056918	0.050757
0.047493	0.044794	0.051789	0.081314	0.054186	0.047696
0.045718	0.045145	0.045742	0.07182	0.044376	0.05407
