HLF+/+HFD			HLF-/-HFD		
0.729595	0.761431	0.787042	0.805964	0.728275	0.756087
0.711491	0.74241	0.74512	0.809795	0.729353	0.770222
0.681688	0.743655	0.771625	0.828264	0.724478	0.774802
0.678687	0.743566	0.771069	0.813305	0.726416	0.764343
0.702171	0.746857	0.777339	0.811506	0.717523	0.775287
0.701911	0.772786	0.773442	0.818218	0.728605	0.785998
0.684875	0.77254	0.776743	0.815707	0.761245	0.762827
0.709439	0.77091	0.76301	0.814196	0.762923	0.736386
0.728316	0.742335	0.750421	0.816229	0.743736	0.781473
0.726005	0.753403	0.748316	0.814876	0.793664	0.766133
0.699845	0.754879	0.740691	0.810889	0.771919	0.769571
0.730132	0.747879	0.734532	0.784788	0.749468	0.744672
0.747151	0.731752	0.700795	0.776114	0.736652	0.756343
0.73752	0.730917	0.718808	0.798229	0.72111	0.754794
0.757604	0.762378	0.750752	0.788084	0.742915	0.75601
0.766716	0.765531	0.717539	0.787558	0.772918	0.744337
0.762697	0.752515	0.701067	0.762617	0.758977	0.732073
0.761075	0.760539	0.684891	0.759497	0.756659	0.750373
0.77102	0.764722	0.696423	0.77696	0.769999	0.763464
0.739253	0.768697	0.719353	0.77756	0.751647	0.763524
0.734609	0.774097	0.717276	0.782855	0.749909	0.759359
0.754131	0.770382	0.722777	0.813075	0.776558	0.760565
0.705114	0.757531	0.779098	0.822879	0.780015	0.754632
0.762938	0.759202	0.797531	0.833138	0.781881	0.77091
0.728715	0.742275	0.736346	0.800254	0.782436	0.773781
0.710279	0.75773	0.748827	0.802894	0.790868	0.789173
0.695132	0.771717	0.74964	0.811364	0.765039	0.796634
0.704525	0.756591	0.746285	0.812467	0.771743	0.78854
0.684207	0.742198	0.727134	0.795175	0.773682	0.78399
0.682798	0.743666	0.729519	0.7834	0.768686	0.767298
0.689359	0.726744	0.721969	0.811575	0.750087	0.769393
0.693252	0.742493	0.743087	0.798828	0.746996	0.767374
0.691521	0.765121	0.75214	0.796895	0.79054	0.756921
0.689224	0.71438	0.721006	0.804782	0.770428	0.747834
0.675665	0.694891	0.728193	0.817495	0.771495	0.742801
0.631736	0.726632	0.713162	0.798721	0.751709	0.714172
0.660602	0.898076	0.743643	0.763958	0.831201	0.801403
0.690622	0.752639	0.760482	0.801593	0.758967	0.707102
0.612391	0.712438	0.768651	0.781155	0.777156	0.700012
0.631214	0.706881	0.753346	0.768142	0.745752	0.692709
0.639205	0.70055	0.733362	0.774124	0.764338	0.706722
0.685649	0.69776	0.733244	0.742046	0.774447	0.712205
0.677548	0.689606	0.726609	0.743561	0.738232	0.716675
0.665586	0.696895	0.735559	0.737331	0.682414	0.674141
0.668917	0.685618	0.7654	0.726691	0.679312	0.732098
0.702851	0.682473	0.750825	0.736723	0.678092	0.738653
0.704289	0.670317	0.731088	0.744797	0.708469	0.712673
0.721595	0.686717	0.72167	0.785476	0.721743	0.69334
0.718711	0.685729	0.743812	0.808574	0.717661	0.679849
0.674431	0.702748	0.716139	0.819959	0.715287	0.683728
0.702492	0.685151	0.702932	0.817063	0.758757	0.705549
0.675508	0.73355	0.711318	0.78884	0.737136	0.687944
0.641365	0.75108	0.722628	0.778419	0.712353	0.685037
0.629201	0.749063	0.725895	0.81266	0.715512	0.720466
0.670828	0.722533	0.693561	0.777564	0.700035	0.73223
0.680419	0.68762	0.740563	0.78832	0.754402	0.733666
0.688099	0.689381	0.774455	0.820019	0.713998	0.742236
0.669792	0.685438	0.750719	0.799695	0.69862	0.750216
0.65764	0.695792	0.713851	0.746082	0.699317	0.743797
0.662222	0.702424	0.716764	0.756525	0.706128	0.782443
0.661351	0.701653	0.741866	0.749348	0.700771	0.788562
0.690515	0.718459	0.736485	0.757005	0.709703	0.792024
0.66792	0.733039	0.759214	0.771192	0.715755	0.759333
0.645838	0.731836	0.749026	0.7578	0.728491	0.759157
0.647521	0.716156	0.729839	0.728838	0.726184	0.759659
0.664193	0.740829	0.737768	0.736001	0.719299	0.746208
0.69521	0.743509	0.738868	0.717745	0.736907	0.734798
0.722124	0.751024	0.746255	0.724203	0.737466	0.747802
0.739851	0.742737	0.703128	0.730597	0.738969	0.762367
0.723341	0.718479	0.701901	0.707177	0.746045	0.740184
0.750049	0.74608	0.744406	0.715344	0.731164	0.777498
0.757015	0.74134	0.770199	0.747194	0.723168	0.751975
0.739276	0.726949	0.765674	0.759733	0.735965	0.74902
0.657981	0.724744	0.727681	0.760374	0.743945	0.733164
0.726059	0.681086	0.748356	0.771786	0.778943	0.723266
0.73032	0.727208	0.721994	0.762061	0.742318	0.704634
0.741642	0.732809	0.75255	0.758755	0.728172	0.699789
0.747708	0.707201	0.744822	0.776757	0.735895	0.704467
0.746922	0.733924	0.732967	0.803123	0.738989	0.696174
0.730558	0.712076	0.723473	0.740375	0.745782	0.715748
0.74186	0.716255	0.705004	0.792592	0.751202	0.706266
0.73617	0.708169	0.72766	0.787887	0.739273	0.704976
0.740843	0.699058	0.724865	0.773679	0.725874	0.700768
0.726818	0.720738	0.730615	0.770973	0.746654	0.719219
0.712043	0.721231	0.705814	0.777384	0.74527	0.717257
0.675376	0.705693	0.72529	0.792071	0.744	0.686938
0.627266	0.690359	0.687984	0.760177	0.747578	0.677578
0.650022	0.723559	0.68932	0.743362	0.745113	0.657238
0.692995	0.738908	0.703492	0.775217	0.760644	0.679392
0.689129	0.728453	0.689569	0.761751	0.732788	0.7293
0.69551	0.736404	0.698975	0.782547	0.699356	0.737611
0.687722	0.732778	0.698653	0.786316	0.712379	0.713669
0.644254	0.729064	0.674949	0.74866	0.671327	0.717157
0.652673	0.732767	0.691945	0.742888	0.686241	0.758951
0.666951	0.712053	0.696819	0.74708	0.672847	0.747219
0.663509	0.707272	0.690823	0.763846	0.685841	0.750932
0.649466	0.718114	0.683548	0.743382	0.718789	0.752567
0.661317	0.75052	0.708549	0.758173	0.732409	0.760932
0.681966	0.725945	0.709957	0.763044	0.730083	0.750738
0.69934	0.749657	0.6984	0.74317	0.724294	0.751646
0.701473	0.730906	0.695487	0.713459	0.748549	0.753168
0.678072	0.688431	0.669742	0.683003	0.715141	0.720514
0.724737	0.744488	0.69278	0.730418	0.7266	0.731011
0.740931	0.736031	0.711499	0.747186	0.75409	0.732309
0.745204	0.700336	0.752923	0.77273	0.795	0.70658
0.75705	0.701958	0.714632	0.781376	0.789729	0.693102
0.738544	0.711291	0.719162	0.813022	0.77818	0.695325
0.681441	0.727689	0.736249	0.81804	0.79291	0.700386
