HLF+/+HFD			HLF-/-HFD		
0.035201	0.043013	0.054379	0.071284	0.046365	0.072382
0.033682	0.04429	0.05531	0.071069	0.050522	0.077821
0.027836	0.049696	0.057086	0.066869	0.059999	0.085524
0.028886	0.050193	0.053477	0.065181	0.053949	0.091467
0.032986	0.051141	0.051813	0.064374	0.047416	0.087413
0.028485	0.045731	0.046247	0.062822	0.058808	0.093707
0.028223	0.048171	0.037698	0.05934	0.054884	0.092858
0.031783	0.047152	0.048013	0.06438	0.055328	0.098099
0.030053	0.044442	0.038562	0.0593	0.0549	0.085457
0.030474	0.045233	0.044021	0.062334	0.048137	0.085866
0.039411	0.045996	0.045682	0.062074	0.045876	0.084165
0.042899	0.046284	0.045905	0.067111	0.045952	0.075056
0.031559	0.044333	0.044565	0.068646	0.042527	0.070229
0.026647	0.045344	0.043033	0.060455	0.040155	0.068201
0.033442	0.046426	0.052138	0.069594	0.037262	0.066672
0.027735	0.037938	0.051984	0.051164	0.03696	0.067063
0.019169	0.036762	0.048106	0.044676	0.036272	0.068242
0.022523	0.039085	0.051492	0.056581	0.035535	0.065494
0.031682	0.037755	0.036789	0.051884	0.03484	0.065811
0.023292	0.033026	0.043869	0.049638	0.040634	0.064814
0.023137	0.032693	0.041052	0.043283	0.032882	0.061853
0.027943	0.033768	0.03898	0.043197	0.039007	0.061564
0.036899	0.035081	0.042963	0.045395	0.044162	0.065817
0.037082	0.036688	0.045701	0.049641	0.04428	0.070825
0.031546	0.040487	0.04174	0.055554	0.039738	0.063737
0.035509	0.037908	0.047294	0.059015	0.034782	0.059177
0.041458	0.043986	0.049269	0.062719	0.036201	0.066513
0.027351	0.039801	0.035986	0.058281	0.043098	0.062392
0.028763	0.044144	0.03335	0.054663	0.039736	0.06092
0.024264	0.043867	0.042159	0.066472	0.038216	0.066685
0.02274	0.046249	0.048816	0.062976	0.038461	0.059722
0.027609	0.039525	0.045005	0.056206	0.050053	0.063502
0.027147	0.03387	0.039395	0.061126	0.05201	0.076971
0.031591	0.036621	0.048138	0.049347	0.053247	0.071702
0.03137	0.036971	0.040352	0.045478	0.051219	0.065134
0.032398	0.04061	0.036838	0.042083	0.047824	0.07125
0.028909	0.04191	0.039233	0.042133	0.04356	0.072792
0.026293	0.038923	0.042772	0.042291	0.047655	0.081265
0.030999	0.03806	0.049068	0.050058	0.049834	0.079922
0.026622	0.045516	0.048495	0.053685	0.048922	0.077732
0.025661	0.047121	0.042615	0.044763	0.04451	0.067041
0.026094	0.041718	0.041083	0.041631	0.049176	0.060731
0.031009	0.047673	0.04158	0.04535	0.049821	0.064319
0.037883	0.055124	0.041456	0.041571	0.044664	0.060441
0.038998	0.051061	0.039531	0.046961	0.042811	0.061026
0.036596	0.041408	0.044922	0.04503	0.04072	0.067938
0.038988	0.037698	0.038358	0.042406	0.04192	0.064981
0.04077	0.039195	0.052289	0.046279	0.050129	0.059565
0.042687	0.044136	0.056473	0.046778	0.050676	0.068758
0.038363	0.044583	0.053847	0.052568	0.041532	0.061675
0.042907	0.040298	0.051748	0.047105	0.04333	0.068528
0.038292	0.033478	0.051514	0.060307	0.048031	0.05995
0.039624	0.033472	0.050534	0.054356	0.037091	0.055665
0.042797	0.031639	0.05224	0.064545	0.043394	0.056284
0.041122	0.032686	0.047077	0.051228	0.039766	0.056259
0.039064	0.0327	0.044048	0.049598	0.035728	0.053569
0.035986	0.036302	0.042343	0.052792	0.037268	0.055535
0.037798	0.03078	0.041529	0.040515	0.045941	0.056494
0.037172	0.030495	0.042953	0.053616	0.03687	0.060407
0.034101	0.032562	0.043465	0.053892	0.038007	0.057538
0.035669	0.035093	0.040731	0.053333	0.04182	0.062526
0.028569	0.038683	0.038478	0.054015	0.035032	0.071991
0.024571	0.038837	0.037101	0.055646	0.0332	0.073844
0.022447	0.034291	0.030709	0.056771	0.034721	0.075931
0.021077	0.039015	0.032436	0.065937	0.034309	0.074355
0.027753	0.037798	0.033262	0.053285	0.031251	0.07793
0.026601	0.038746	0.033219	0.048538	0.0446	0.075392
0.028612	0.037685	0.034462	0.048238	0.045534	0.07558
0.029637	0.033551	0.033489	0.044653	0.048796	0.078965
0.031209	0.038623	0.031849	0.043767	0.05128	0.075019
0.023065	0.033746	0.030651	0.035973	0.049596	0.07181
0.024919	0.034828	0.033199	0.040118	0.050043	0.067676
0.024466	0.032809	0.031244	0.039321	0.049	0.067171
0.026702	0.034782	0.031103	0.049046	0.040054	0.062749
0.028569	0.04981	0.034868	0.052926	0.044612	0.060232
0.030711	0.051284	0.038074	0.054329	0.040141	0.059952
0.033982	0.047319	0.031314	0.041962	0.04144	0.056091
0.032877	0.041918	0.02949	0.049475	0.034987	0.053787
0.032522	0.03311	0.032144	0.037755	0.034627	0.058006
0.040697	0.037799	0.037506	0.043752	0.037436	0.057485
0.038094	0.038137	0.042926	0.052059	0.035548	0.052698
0.039717	0.031813	0.04683	0.06283	0.0385	0.05449
0.039504	0.03144	0.056103	0.061174	0.038951	0.056888
0.034307	0.033018	0.044385	0.062938	0.036502	0.056061
0.03343	0.031772	0.04896	0.065328	0.036009	0.055015
0.033362	0.031226	0.041886	0.052411	0.037348	0.063793
0.027397	0.032412	0.042337	0.048647	0.034917	0.08022
0.033458	0.036749	0.047184	0.042008	0.035261	0.07479
0.03064	0.043243	0.043346	0.03486	0.034987	0.07182
0.026699	0.043141	0.040812	0.038013	0.035057	0.072915
0.026786	0.037363	0.046383	0.040005	0.033605	0.07305
0.028243	0.043695	0.038087	0.037638	0.034145	0.072127
0.024073	0.049299	0.032038	0.040506	0.05137	0.076993
0.022455	0.044637	0.028275	0.047302	0.041244	0.073371
0.023723	0.038061	0.03539	0.034888	0.033483	0.073404
0.025353	0.03842	0.031675	0.038029	0.032872	0.0653
0.026514	0.042134	0.028582	0.043889	0.043957	0.070332
0.025127	0.03984	0.031703	0.039862	0.050391	0.068917
0.033092	0.041116	0.029689	0.03443	0.041352	0.070963
0.035815	0.038161	0.030121	0.044702	0.037039	0.071557
0.032124	0.030611	0.030362	0.032975	0.036272	0.072044
0.027744	0.029416	0.032076	0.030506	0.037486	0.075035
0.027225	0.029899	0.032237	0.03227	0.036974	0.071846
0.032708	0.028233	0.0322	0.049467	0.035257	0.067191
0.028341	0.026998	0.029964	0.038259	0.042233	0.063204
0.026986	0.028781	0.036049	0.043253	0.03627	0.057609
0.030171	0.028077	0.037896	0.029047	0.036575	0.055562
0.027499	0.028216	0.044376	0.051362	0.037876	0.058641
0.025054	0.029775	0.047267	0.049132	0.037019	0.062997
0.024628	0.029113	0.049275	0.040614	0.037724	0.062222
0.026672	0.032922	0.048452	0.038899	0.032576	0.053037
0.026438	0.032786	0.042311	0.042366	0.035218	0.051212
0.027712	0.031314	0.043593	0.03273	0.035586	0.052444
0.030777	0.032244	0.05179	0.031516	0.03681	0.054439
0.029173	0.032475	0.040011	0.031511	0.030876	0.067346
0.027562	0.027749	0.039665	0.045179	0.031948	0.066332
0.028818	0.028863	0.042459	0.04411	0.02721	0.070099
0.027659	0.028275	0.041703	0.044898	0.027927	0.0764
0.032338	0.031011	0.035198	0.040115	0.038008	0.070257
0.036501	0.030084	0.027572	0.034059	0.029698	0.069585
0.035203	0.027085	0.029357	0.040038	0.030567	0.06517
0.036785	0.030138	0.03541	0.037039	0.028047	0.058441
