Fatty acid	Both	Carbohydrate	RNA-seq	
CFTR	LOC102128179	SLC10A7	SIGLEC10	
ST7	UBE2D3	NR3C2	CD22	
IMMP2L	TET2	LRBA	MERTK	
PUS7	TBCK	PRSS48	ENSMFAG00000061083	
SRPK2	GIMD1	FHIP1A	ENSMFAG00000037140	
DNAJC2	ELOVL6	FBXW7	CHSY1	
RSBN1L	LOC102127277	TMEM131L	HNF4A	
PHTF2	CAMK2D	PDGFC	ADAM10	
GNAI1	UGT8	PALLD	ENSMFAG00000062269	
SEMA3C	MFSD8	TENM3	LDLR	
DBF4	LOC102117259	STOX2	ENSMFAG00000053149	
GTPBP10	MGST2	CENPU	RIPOR2	
CYP51A1	INPP4B	CEP72	FAM8A1	
FAM133B	USP38	BRD9	E2F2	
CDK6	SMAD1	SEMA5A	PFKFB2	
PPP1R9A	ZNF827	ATPSCKMT	GDF15	
UMAD1	SLC10A7	TRIO	ENSMFAG00000064098	
ICA1	NR3C2	OTULIN	PTPRK	
AGMO	PRSS48	GOLPH3	KITLG	
BZW2	FHIP1A	TARS1	ENSMFAG00000053703	
PALS2	FBXW7	NUP155	ASH1L	
HIBADH	ARFIP1	WDR70	HMGCR	
CPVL	RAPGEF2	GHR	ENSMFAG00000053430	
ZNRF2	MSMO1	HMGCS1	ST3GAL2	
AVL9	SH3RF1	NNT	ENSMFAG00000050954	
DPY19L1	CLCN3	EMB	FAM114A1	
CDK13	FAT1	PARP8	ZW10	
LOC102137336	SDHA	ARL15	DNAJB13	
NUDCD3	SLC9A3	PDE4D	TCF4	
GRB10	SLC6A19	NDUFAF2	CDKL2	
EGFR	CMBL	IPO11	PTCH1	
LOC102126093	MARCHF6	RNF180	RBM27	
ZNF680	ANKH	CWC27	EHF	
LOC123572386	GOLPH3	CENPK	TMEM192	
TMPRSS15	PTGER4	MAST4	SLC6A4	
LOC101926433	GHR	MRPS27	ATRX	
CYYR1	HMGCS1	GCNT4	ENSMFAG00000037799	
SCAF4	PARP8	LHFPL2	ENSMFAG00000039896	
HUNK	NDUFS4	MSH3	ENSMFAG00000048533	
URB1	ARL15	ATG10	FCMR	
PAXBP1	MAP3K1	XRCC4	SNAI2	
TMEM50B	ZSWIM6	CCNH	TM7SF3	
GART	GCNT4	TMEM161B	FAM126B	
DONSON	HMGCR	ADGRV1	MRTFB	
RCAN1	IQGAP2	KIAA0825	DDX6	
RUNX1	TBCA	RGMB	ENSMFAG00000037586	
LOC102140471	TENT2	FBXL17	CD300LF	
HLCS	ADGRV1	COMMD10	ENSMFAG00000053411	
TTC3	LOC123574006	DMXL1	EMB	
DYRK1A	ERAP1	TNFAIP8	ENSMFAG00000043887	
BACE2	FBXL17	LMNB1	MCM2	
CBS	PJA2	SLC12A2	CR2	
U2AF1	MAN2A1	LOC102123677	ZADH2	
PCBP3	STARD4	SIL1	ENSMFAG00000045681	
LSS	TRIM36	MATR3	MSH6	
PCNT	PGGT1B	SLC23A1	PGM2	
MCM7	AP3S1	HARS1	FBXL17	
YWHAG	DMXL1	ARHGAP26	CTSB	
BAZ1B	HSD17B4	TCERG1	ENSMFAG00000053019	
RFC2	SNX24	PPARGC1B	ULK4	
CLIP2	CSNK1G3	GABRB2	ENSMFAG00000035657	
GTF2I	ZNF608	RANBP17	MAPK1	
AUTS2	GRAMD2B	NSD1	ATP13A3	
LOC102133005	SEC24A	GABRG3	SEL1L	
ASL	FAM13B	LOC101865285	ENSMFAG00000057159	
GUSB	CTNNA1	FAN1	TRAM2	
VKORC1L1	SLC23A1	DPH6	MCFD2	
LOC102141548	NRG2	CDIN1	CHP1	
IQCE	CYSTM1	MEIS2	WNT2B	
MAD1L1	PFDN1	SPTBN5	PLEKHA8	
INTS1	DIAPH1	LOC102143168	NOX5	
MICALL2	ARHGAP26	NEDD4	SLC35E1	
C3H7orf50	SH3RF2	TCF12	MEGF9	
LOC102121854	CSNK1A1	CGNL1	DPEP3	
GMDS	PPARGC1B	RORA	KCNE3	
CDYL	SLC26A2	PCLAF	ZNF609	
LYRM4	SYNPO	ZNF609	FAR2	
FARS2	RNF145	MEGF11	BACE2	
SSR1	WWC1	MAP2K5	SECISBP2L	
HIVEP1	FBXW11	MYO9A	GM2A	
NUP153	CDHR2	SCAPER	SEPTIN11	
DEK	MGAT4B	FANCI	TLR8	
CDKAL1	LOC101865633	BLM	DDX21	
GMNN	TJP1	MAN2A2	ECHDC1	
SLC17A4	SLC12A6	LOC102117519	DEK	
TRIM26	MEIS2	MCTP2	TIMM21	
HSPA1A	MAPKBP1	IGF1R	LARS2	
LOC123572795	SPTBN5	CHSY1	LYG1	
WDR46	PPIP5K1	PCSK6	GPR183	
ITPR3	PDIA3	ZNF219	ENSMFAG00000011823	
LOC102140245	SEMA6D	LOC101867156	RNASE1	
